one01100	Metabolic pathways - Oncorhynchus nerka (sockeye salmon)
one01200	Carbon metabolism - Oncorhynchus nerka (sockeye salmon)
one01210	2-Oxocarboxylic acid metabolism - Oncorhynchus nerka (sockeye salmon)
one01212	Fatty acid metabolism - Oncorhynchus nerka (sockeye salmon)
one01230	Biosynthesis of amino acids - Oncorhynchus nerka (sockeye salmon)
one01232	Nucleotide metabolism - Oncorhynchus nerka (sockeye salmon)
one01250	Biosynthesis of nucleotide sugars - Oncorhynchus nerka (sockeye salmon)
one01240	Biosynthesis of cofactors - Oncorhynchus nerka (sockeye salmon)
one01320	Sulfur cycle - Oncorhynchus nerka (sockeye salmon)
one00010	Glycolysis / Gluconeogenesis - Oncorhynchus nerka (sockeye salmon)
one00020	Citrate cycle (TCA cycle) - Oncorhynchus nerka (sockeye salmon)
one00030	Pentose phosphate pathway - Oncorhynchus nerka (sockeye salmon)
one00040	Pentose and glucuronate interconversions - Oncorhynchus nerka (sockeye salmon)
one00051	Fructose and mannose metabolism - Oncorhynchus nerka (sockeye salmon)
one00052	Galactose metabolism - Oncorhynchus nerka (sockeye salmon)
one00053	Ascorbate and aldarate metabolism - Oncorhynchus nerka (sockeye salmon)
one00500	Starch and sucrose metabolism - Oncorhynchus nerka (sockeye salmon)
one00620	Pyruvate metabolism - Oncorhynchus nerka (sockeye salmon)
one00630	Glyoxylate and dicarboxylate metabolism - Oncorhynchus nerka (sockeye salmon)
one00640	Propanoate metabolism - Oncorhynchus nerka (sockeye salmon)
one00650	Butanoate metabolism - Oncorhynchus nerka (sockeye salmon)
one00660	C5-Branched dibasic acid metabolism - Oncorhynchus nerka (sockeye salmon)
one00562	Inositol phosphate metabolism - Oncorhynchus nerka (sockeye salmon)
one00190	Oxidative phosphorylation - Oncorhynchus nerka (sockeye salmon)
one00910	Nitrogen metabolism - Oncorhynchus nerka (sockeye salmon)
one00920	Sulfur metabolism - Oncorhynchus nerka (sockeye salmon)
one00061	Fatty acid biosynthesis - Oncorhynchus nerka (sockeye salmon)
one00062	Fatty acid elongation - Oncorhynchus nerka (sockeye salmon)
one00071	Fatty acid degradation - Oncorhynchus nerka (sockeye salmon)
one00100	Steroid biosynthesis - Oncorhynchus nerka (sockeye salmon)
one00120	Primary bile acid biosynthesis - Oncorhynchus nerka (sockeye salmon)
one00140	Steroid hormone biosynthesis - Oncorhynchus nerka (sockeye salmon)
one00561	Glycerolipid metabolism - Oncorhynchus nerka (sockeye salmon)
one00564	Glycerophospholipid metabolism - Oncorhynchus nerka (sockeye salmon)
one00565	Ether lipid metabolism - Oncorhynchus nerka (sockeye salmon)
one00600	Sphingolipid metabolism - Oncorhynchus nerka (sockeye salmon)
one00590	Arachidonic acid metabolism - Oncorhynchus nerka (sockeye salmon)
one00591	Linoleic acid metabolism - Oncorhynchus nerka (sockeye salmon)
one00592	alpha-Linolenic acid metabolism - Oncorhynchus nerka (sockeye salmon)
one01040	Biosynthesis of unsaturated fatty acids - Oncorhynchus nerka (sockeye salmon)
one00230	Purine metabolism - Oncorhynchus nerka (sockeye salmon)
one00240	Pyrimidine metabolism - Oncorhynchus nerka (sockeye salmon)
one00250	Alanine, aspartate and glutamate metabolism - Oncorhynchus nerka (sockeye salmon)
one00260	Glycine, serine and threonine metabolism - Oncorhynchus nerka (sockeye salmon)
one00270	Cysteine and methionine metabolism - Oncorhynchus nerka (sockeye salmon)
one00280	Valine, leucine and isoleucine degradation - Oncorhynchus nerka (sockeye salmon)
one00290	Valine, leucine and isoleucine biosynthesis - Oncorhynchus nerka (sockeye salmon)
one00310	Lysine degradation - Oncorhynchus nerka (sockeye salmon)
one00220	Arginine biosynthesis - Oncorhynchus nerka (sockeye salmon)
one00330	Arginine and proline metabolism - Oncorhynchus nerka (sockeye salmon)
one00340	Histidine metabolism - Oncorhynchus nerka (sockeye salmon)
one00350	Tyrosine metabolism - Oncorhynchus nerka (sockeye salmon)
one00360	Phenylalanine metabolism - Oncorhynchus nerka (sockeye salmon)
one00380	Tryptophan metabolism - Oncorhynchus nerka (sockeye salmon)
one00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Oncorhynchus nerka (sockeye salmon)
one00410	beta-Alanine metabolism - Oncorhynchus nerka (sockeye salmon)
one00430	Taurine and hypotaurine metabolism - Oncorhynchus nerka (sockeye salmon)
one00440	Phosphonate and phosphinate metabolism - Oncorhynchus nerka (sockeye salmon)
one00450	Selenocompound metabolism - Oncorhynchus nerka (sockeye salmon)
one00470	D-Amino acid metabolism - Oncorhynchus nerka (sockeye salmon)
one00480	Glutathione metabolism - Oncorhynchus nerka (sockeye salmon)
one00520	Amino sugar and nucleotide sugar metabolism - Oncorhynchus nerka (sockeye salmon)
one00541	Biosynthesis of various nucleotide sugars - Oncorhynchus nerka (sockeye salmon)
one00510	N-Glycan biosynthesis - Oncorhynchus nerka (sockeye salmon)
one00513	Various types of N-glycan biosynthesis - Oncorhynchus nerka (sockeye salmon)
one00512	Mucin type O-glycan biosynthesis - Oncorhynchus nerka (sockeye salmon)
one00515	Mannose type O-glycan biosynthesis - Oncorhynchus nerka (sockeye salmon)
one00514	Other types of O-glycan biosynthesis - Oncorhynchus nerka (sockeye salmon)
one00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Oncorhynchus nerka (sockeye salmon)
one00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Oncorhynchus nerka (sockeye salmon)
one00533	Glycosaminoglycan biosynthesis - keratan sulfate - Oncorhynchus nerka (sockeye salmon)
one00531	Glycosaminoglycan degradation - Oncorhynchus nerka (sockeye salmon)
one00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Oncorhynchus nerka (sockeye salmon)
one00601	Glycosphingolipid biosynthesis - lacto and neolacto series - Oncorhynchus nerka (sockeye salmon)
one00603	Glycosphingolipid biosynthesis - globo and isoglobo series - Oncorhynchus nerka (sockeye salmon)
one00604	Glycosphingolipid biosynthesis - ganglio series - Oncorhynchus nerka (sockeye salmon)
one00511	Other glycan degradation - Oncorhynchus nerka (sockeye salmon)
one00730	Thiamine metabolism - Oncorhynchus nerka (sockeye salmon)
one00740	Riboflavin metabolism - Oncorhynchus nerka (sockeye salmon)
one00750	Vitamin B6 metabolism - Oncorhynchus nerka (sockeye salmon)
one00760	Nicotinate and nicotinamide metabolism - Oncorhynchus nerka (sockeye salmon)
one00770	Pantothenate and CoA biosynthesis - Oncorhynchus nerka (sockeye salmon)
one00780	Biotin metabolism - Oncorhynchus nerka (sockeye salmon)
one00785	Lipoic acid metabolism - Oncorhynchus nerka (sockeye salmon)
one00790	Folate biosynthesis - Oncorhynchus nerka (sockeye salmon)
one00670	One carbon pool by folate - Oncorhynchus nerka (sockeye salmon)
one00830	Retinol metabolism - Oncorhynchus nerka (sockeye salmon)
one00860	Porphyrin metabolism - Oncorhynchus nerka (sockeye salmon)
one00130	Ubiquinone and other terpenoid-quinone biosynthesis - Oncorhynchus nerka (sockeye salmon)
one00900	Terpenoid backbone biosynthesis - Oncorhynchus nerka (sockeye salmon)
one00232	Caffeine metabolism - Oncorhynchus nerka (sockeye salmon)
one00524	Neomycin, kanamycin and gentamicin biosynthesis - Oncorhynchus nerka (sockeye salmon)
one00980	Metabolism of xenobiotics by cytochrome P450 - Oncorhynchus nerka (sockeye salmon)
one00982	Drug metabolism - cytochrome P450 - Oncorhynchus nerka (sockeye salmon)
one00983	Drug metabolism - other enzymes - Oncorhynchus nerka (sockeye salmon)
one03020	RNA polymerase - Oncorhynchus nerka (sockeye salmon)
one03022	Basal transcription factors - Oncorhynchus nerka (sockeye salmon)
one03040	Spliceosome - Oncorhynchus nerka (sockeye salmon)
one03010	Ribosome - Oncorhynchus nerka (sockeye salmon)
one00970	Aminoacyl-tRNA biosynthesis - Oncorhynchus nerka (sockeye salmon)
one03013	Nucleocytoplasmic transport - Oncorhynchus nerka (sockeye salmon)
one03015	mRNA surveillance pathway - Oncorhynchus nerka (sockeye salmon)
one03008	Ribosome biogenesis in eukaryotes - Oncorhynchus nerka (sockeye salmon)
one03060	Protein export - Oncorhynchus nerka (sockeye salmon)
one04141	Protein processing in endoplasmic reticulum - Oncorhynchus nerka (sockeye salmon)
one04130	SNARE interactions in vesicular transport - Oncorhynchus nerka (sockeye salmon)
one04120	Ubiquitin mediated proteolysis - Oncorhynchus nerka (sockeye salmon)
one04122	Sulfur relay system - Oncorhynchus nerka (sockeye salmon)
one03050	Proteasome - Oncorhynchus nerka (sockeye salmon)
one03018	RNA degradation - Oncorhynchus nerka (sockeye salmon)
one03030	DNA replication - Oncorhynchus nerka (sockeye salmon)
one03410	Base excision repair - Oncorhynchus nerka (sockeye salmon)
one03420	Nucleotide excision repair - Oncorhynchus nerka (sockeye salmon)
one03430	Mismatch repair - Oncorhynchus nerka (sockeye salmon)
one03440	Homologous recombination - Oncorhynchus nerka (sockeye salmon)
one03450	Non-homologous end-joining - Oncorhynchus nerka (sockeye salmon)
one03460	Fanconi anemia pathway - Oncorhynchus nerka (sockeye salmon)
one03082	ATP-dependent chromatin remodeling - Oncorhynchus nerka (sockeye salmon)
one03083	Polycomb repressive complex - Oncorhynchus nerka (sockeye salmon)
one03250	Viral life cycle - HIV-1 - Oncorhynchus nerka (sockeye salmon)
one03260	Virion - Human immunodeficiency virus - Oncorhynchus nerka (sockeye salmon)
one03271	Virion - Rotavirus - Oncorhynchus nerka (sockeye salmon)
one03264	Virion - Flavivirus and Alphavirus - Oncorhynchus nerka (sockeye salmon)
one03265	Virion - Ebolavirus, Lyssavirus and Morbillivirus - Oncorhynchus nerka (sockeye salmon)
one03273	Virion - Lassa virus and SFTS virus - Oncorhynchus nerka (sockeye salmon)
one03272	Virion - Hepatitis viruses - Oncorhynchus nerka (sockeye salmon)
one03266	Virion - Herpesvirus - Oncorhynchus nerka (sockeye salmon)
one03267	Virion - Adenovirus - Oncorhynchus nerka (sockeye salmon)
one02010	ABC transporters - Oncorhynchus nerka (sockeye salmon)
one04010	MAPK signaling pathway - Oncorhynchus nerka (sockeye salmon)
one04012	ErbB signaling pathway - Oncorhynchus nerka (sockeye salmon)
one04310	Wnt signaling pathway - Oncorhynchus nerka (sockeye salmon)
one04330	Notch signaling pathway - Oncorhynchus nerka (sockeye salmon)
one04340	Hedgehog signaling pathway - Oncorhynchus nerka (sockeye salmon)
one04350	TGF-beta signaling pathway - Oncorhynchus nerka (sockeye salmon)
one04370	VEGF signaling pathway - Oncorhynchus nerka (sockeye salmon)
one04371	Apelin signaling pathway - Oncorhynchus nerka (sockeye salmon)
one04068	FoxO signaling pathway - Oncorhynchus nerka (sockeye salmon)
one04020	Calcium signaling pathway - Oncorhynchus nerka (sockeye salmon)
one04070	Phosphatidylinositol signaling system - Oncorhynchus nerka (sockeye salmon)
one04150	mTOR signaling pathway - Oncorhynchus nerka (sockeye salmon)
one04080	Neuroactive ligand-receptor interaction - Oncorhynchus nerka (sockeye salmon)
one04082	Neuroactive ligand signaling - Oncorhynchus nerka (sockeye salmon)
one04081	Hormone signaling - Oncorhynchus nerka (sockeye salmon)
one04060	Cytokine-cytokine receptor interaction - Oncorhynchus nerka (sockeye salmon)
one04512	ECM-receptor interaction - Oncorhynchus nerka (sockeye salmon)
one04514	Cell adhesion molecule (CAM) interaction - Oncorhynchus nerka (sockeye salmon)
one04517	IgSF CAM signaling - Oncorhynchus nerka (sockeye salmon)
one04518	Integrin signaling - Oncorhynchus nerka (sockeye salmon)
one04519	Cadherin signaling - Oncorhynchus nerka (sockeye salmon)
one04144	Endocytosis - Oncorhynchus nerka (sockeye salmon)
one04145	Phagocytosis - Oncorhynchus nerka (sockeye salmon)
one04142	Lysosome biogenesis - Oncorhynchus nerka (sockeye salmon)
one04146	Peroxisome - Oncorhynchus nerka (sockeye salmon)
one04140	Autophagy - animal - Oncorhynchus nerka (sockeye salmon)
one04136	Autophagy - other - Oncorhynchus nerka (sockeye salmon)
one04137	Mitophagy - animal - Oncorhynchus nerka (sockeye salmon)
one04148	Efferocytosis - Oncorhynchus nerka (sockeye salmon)
one04110	Cell cycle - Oncorhynchus nerka (sockeye salmon)
one04114	Oocyte meiosis - Oncorhynchus nerka (sockeye salmon)
one04210	Apoptosis - Oncorhynchus nerka (sockeye salmon)
one04216	Ferroptosis - Oncorhynchus nerka (sockeye salmon)
one04217	Necroptosis - Oncorhynchus nerka (sockeye salmon)
one04115	p53 signaling pathway - Oncorhynchus nerka (sockeye salmon)
one04218	Cellular senescence - Oncorhynchus nerka (sockeye salmon)
one04156	Integrated stress response (ISR) signaling pathway - Oncorhynchus nerka (sockeye salmon)
one04510	Focal adhesion - Oncorhynchus nerka (sockeye salmon)
one04520	Adherens junction - Oncorhynchus nerka (sockeye salmon)
one04530	Tight junction - Oncorhynchus nerka (sockeye salmon)
one04540	Gap junction - Oncorhynchus nerka (sockeye salmon)
one04814	Motor proteins - Oncorhynchus nerka (sockeye salmon)
one04820	Cytoskeleton in muscle cells - Oncorhynchus nerka (sockeye salmon)
one04810	Regulation of actin cytoskeleton - Oncorhynchus nerka (sockeye salmon)
one04620	Toll-like receptor signaling pathway - Oncorhynchus nerka (sockeye salmon)
one04621	NOD-like receptor signaling pathway - Oncorhynchus nerka (sockeye salmon)
one04622	RIG-I-like receptor signaling pathway - Oncorhynchus nerka (sockeye salmon)
one04623	Cytosolic DNA-sensing pathway - Oncorhynchus nerka (sockeye salmon)
one04625	C-type lectin receptor signaling pathway - Oncorhynchus nerka (sockeye salmon)
one04672	Intestinal immune network for IgA production - Oncorhynchus nerka (sockeye salmon)
one04910	Insulin signaling pathway - Oncorhynchus nerka (sockeye salmon)
one04920	Adipocytokine signaling pathway - Oncorhynchus nerka (sockeye salmon)
one03320	PPAR signaling pathway - Oncorhynchus nerka (sockeye salmon)
one04912	GnRH signaling pathway - Oncorhynchus nerka (sockeye salmon)
one04914	Progesterone-mediated oocyte maturation - Oncorhynchus nerka (sockeye salmon)
one04916	Melanogenesis - Oncorhynchus nerka (sockeye salmon)
one04260	Cardiac muscle contraction - Oncorhynchus nerka (sockeye salmon)
one04261	Adrenergic signaling in cardiomyocytes - Oncorhynchus nerka (sockeye salmon)
one04270	Vascular smooth muscle contraction - Oncorhynchus nerka (sockeye salmon)
one04977	Vitamin digestion and absorption - Oncorhynchus nerka (sockeye salmon)
one04981	Folate transport and metabolism - Oncorhynchus nerka (sockeye salmon)
one04980	Cobalamin transport and metabolism - Oncorhynchus nerka (sockeye salmon)
one04744	Phototransduction - Oncorhynchus nerka (sockeye salmon)
one04382	Cornified envelope formation - Oncorhynchus nerka (sockeye salmon)
one05168	Herpes simplex virus 1 infection - Oncorhynchus nerka (sockeye salmon)
one05132	Salmonella infection - Oncorhynchus nerka (sockeye salmon)
one05100	Bacterial invasion of epithelial cells - Oncorhynchus nerka (sockeye salmon)
