"category","term","ontology","over_represented_pvalue","FDR","numDEInCat","numInCat"
"GO:0008180","COP9 signalosome","CC",0.00192952539120599,1,2,12
"GO:0019799","tubulin N-acetyltransferase activity","MF",0.00250565019388269,1,1,1
"GO:0071929","alpha-tubulin acetylation","BP",0.00250565019388269,1,1,1
"GO:0030177","positive regulation of Wnt signaling pathway","BP",0.00977123604765415,1,1,2
"GO:0006497","protein lipidation","BP",0.0106815526491086,1,1,2
"GO:0080025","phosphatidylinositol-3,5-bisphosphate binding","MF",0.0130148651652602,1,1,3
"GO:0005093","Rab GDP-dissociation inhibitor activity","MF",0.0165762051225434,1,1,4
"GO:0051015","actin filament binding","MF",0.0212272685619744,1,2,59
"GO:0034497","protein localization to phagophore assembly site","BP",0.0216582845002555,1,1,7
"GO:0043491","phosphatidylinositol 3-kinase/protein kinase B signal transduction","BP",0.0224082254119034,1,1,4
"GO:0019898","extrinsic component of membrane","CC",0.022937848843662,1,1,8
"GO:2000134","negative regulation of G1/S transition of mitotic cell cycle","BP",0.0233119608932022,1,1,4
"GO:0015889","cobalamin transport","BP",0.02370289293498,1,1,3
"GO:0031419","cobalamin binding","MF",0.02370289293498,1,1,3
"GO:0048812","neuron projection morphogenesis","BP",0.0253724002227352,1,1,5
"GO:0003774","cytoskeletal motor activity","MF",0.0257595856999665,1,1,6
"GO:0034045","phagophore assembly site membrane","CC",0.0282595034886192,1,1,5
"GO:0044804","nucleophagy","BP",0.028980206664999,1,1,4
"GO:0030060","L-malate dehydrogenase activity","MF",0.029978847117548,1,1,4
"GO:0019903","protein phosphatase binding","MF",0.0301704848518257,1,1,7
"GO:0010387","COP9 signalosome assembly","BP",0.0302228378147736,1,1,4
"GO:0000338","protein deneddylation","BP",0.030595106378069,1,1,4
"GO:0048188","Set1C/COMPASS complex","CC",0.0313082255524536,1,1,5
"GO:0016282","eukaryotic 43S preinitiation complex","CC",0.0319538261107207,1,1,3
"GO:0007417","central nervous system development","BP",0.0356955129909569,1,1,11
"GO:0006108","malate metabolic process","BP",0.0385508206696692,1,1,6
"GO:0016459","myosin complex","CC",0.0416565669090817,1,1,14
"GO:0031072","heat shock protein binding","MF",0.0420613897923769,1,1,13
"GO:0032266","phosphatidylinositol-3-phosphate binding","MF",0.0434469091855333,1,1,8
"GO:0033179","proton-transporting V-type ATPase, V0 domain","CC",0.0436915526580487,1,1,8
"GO:0043024","ribosomal small subunit binding","MF",0.044884883689727,1,1,7
"GO:0005516","calmodulin binding","MF",0.0480718075766378,1,1,19
"GO:0000724","double-strand break repair via homologous recombination","BP",0.0603668806631656,1,1,10
"GO:0045202","synapse","CC",0.0615255976845328,1,1,13
"GO:0048471","perinuclear region of cytoplasm","CC",0.0618207425103649,1,1,14
"GO:0006406","mRNA export from nucleus","BP",0.0647899700017526,1,1,9
"GO:0000502","proteasome complex","CC",0.0650521439203977,1,1,11
"GO:0006486","protein glycosylation","BP",0.0722906026494242,1,1,16
"GO:0043248","proteasome assembly","BP",0.0726926721589294,1,1,6
"GO:0038023","signaling receptor activity","MF",0.073420635629468,1,1,17
"GO:0009897","external side of plasma membrane","CC",0.0810344554214256,1,1,24
"GO:0007015","actin filament organization","BP",0.0814849315261918,1,1,21
"GO:0008250","oligosaccharyltransferase complex","CC",0.0819248399456011,1,1,11
"GO:0005874","microtubule","CC",0.083584979674892,1,1,23
"GO:0015031","protein transport","BP",0.0866405732213641,1,1,24
"GO:0008541","proteasome regulatory particle, lid subcomplex","CC",0.0902579347244942,1,1,14
"GO:0000422","autophagy of mitochondrion","BP",0.099218244159596,1,1,20
"GO:0046961","proton-transporting ATPase activity, rotational mechanism","MF",0.111197347367929,1,1,22
"GO:0032981","mitochondrial respiratory chain complex I assembly","BP",0.119596646820515,1,1,11
