"category","name","over_represented_pvalue","FDR","numDEInCat","numInCat"
"one00190","Oxidative phosphorylation",0.0051965406993092,0.992539273568056,4,149
"one04980","Cobalamin transport and metabolism",0.0298538737001271,1,1,6
"one03440","Homologous recombination",0.0347483046075859,1,1,7
"one03050","Proteasome",0.058142729628195,1,2,79
"one04977","Vitamin digestion and absorption",0.0683726123066277,1,1,14
"one00620","Pyruvate metabolism",0.127949811133901,1,1,27
"one00270","Cysteine and methionine metabolism",0.132382891251594,1,1,28
"one00630","Glyoxylate and dicarboxylate metabolism",0.132382891251594,1,1,28
"one00860","Porphyrin metabolism",0.13679503782714,1,1,29
"one04145","Phagocytosis",0.150816603145162,1,2,138
"one00513","Various types of N-glycan biosynthesis",0.158544949625267,1,1,34
"one00020","Citrate cycle (TCA cycle)",0.175577288972596,1,1,38
"one00510","N-Glycan biosynthesis",0.188140843650985,1,1,41
"one04216","Ferroptosis",0.22077986140464,1,1,49
"one01100","Metabolic pathways",0.264174159188823,1,5,701
"one04260","Cardiac muscle contraction",0.267460474279065,1,1,61
"one04217","Necroptosis",0.363161672298973,1,1,88
"one01200","Carbon metabolism",0.376308862199622,1,1,92
"one04140","Autophagy - animal",0.486521962198412,1,1,129
"one03040","Spliceosome",0.494614149707789,1,1,132
"one04142","Lysosome biogenesis",0.523283354526514,1,1,143
"one04141","Protein processing in endoplasmic reticulum",0.625555389950852,1,1,188
"one03010","Ribosome",0.656711505777,1,1,204
"one00010","Glycolysis / Gluconeogenesis",1,1,0,39
"one00030","Pentose phosphate pathway",1,1,0,18
"one00040","Pentose and glucuronate interconversions",1,1,0,15
"one00051","Fructose and mannose metabolism",1,1,0,14
"one00052","Galactose metabolism",1,1,0,11
"one00053","Ascorbate and aldarate metabolism",1,1,0,11
"one00061","Fatty acid biosynthesis",1,1,0,7
"one00062","Fatty acid elongation",1,1,0,14
"one00071","Fatty acid degradation",1,1,0,24
"one00100","Steroid biosynthesis",1,1,0,15
"one00120","Primary bile acid biosynthesis",1,1,0,7
"one00130","Ubiquinone and other terpenoid-quinone biosynthesis",1,1,0,3
"one00140","Steroid hormone biosynthesis",1,1,0,14
"one00220","Arginine biosynthesis",1,1,0,14
"one00230","Purine metabolism",1,1,0,46
"one00232","Caffeine metabolism",1,1,0,2
"one00240","Pyrimidine metabolism",1,1,0,24
"one00250","Alanine, aspartate and glutamate metabolism",1,1,0,19
"one00260","Glycine, serine and threonine metabolism",1,1,0,26
"one00280","Valine, leucine and isoleucine degradation",1,1,0,25
"one00310","Lysine degradation",1,1,0,32
"one00330","Arginine and proline metabolism",1,1,0,22
"one00340","Histidine metabolism",1,1,0,7
"one00350","Tyrosine metabolism",1,1,0,12
"one00360","Phenylalanine metabolism",1,1,0,8
"one00380","Tryptophan metabolism",1,1,0,26
"one00400","Phenylalanine, tyrosine and tryptophan biosynthesis",1,1,0,7
"one00410","beta-Alanine metabolism",1,1,0,17
"one00430","Taurine and hypotaurine metabolism",1,1,0,3
"one00440","Phosphonate and phosphinate metabolism",1,1,0,5
"one00450","Selenocompound metabolism",1,1,0,7
"one00470","D-Amino acid metabolism",1,1,0,2
"one00480","Glutathione metabolism",1,1,0,31
"one00500","Starch and sucrose metabolism",1,1,0,12
"one00511","Other glycan degradation",1,1,0,3
"one00512","Mucin type O-glycan biosynthesis",1,1,0,4
"one00514","Other types of O-glycan biosynthesis",1,1,0,13
"one00515","Mannose type O-glycan biosynthesis",1,1,0,7
"one00520","Amino sugar and nucleotide sugar metabolism",1,1,0,12
"one00531","Glycosaminoglycan degradation",1,1,0,4
"one00533","Glycosaminoglycan biosynthesis - keratan sulfate",1,1,0,6
"one00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",1,1,0,7
"one00541","Biosynthesis of various nucleotide sugars",1,1,0,7
"one00561","Glycerolipid metabolism",1,1,0,32
