"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","description","treatment"
"LOC115129809",12.4538997634804,1.12221050513928,0.375360229583602,0.000114030648021148,0.00674350765106042,"uncharacterized LOC115129809, transcript variant X3","gonad"
"LOC115105703",63.6306973269115,1.11313140623123,0.37828134564054,0.000128737544549463,0.00723336915740081,"uncharacterized LOC115105703, transcript variant X3","gonad"
"LOC115112262",75.4604258055194,1.10994571003918,0.302949032662099,1.15397653939101e-05,0.00227619574542032,"uncharacterized LOC115112262, transcript variant X2","gonad"
"LOC115111377",163.286523284183,1.01378854640637,0.338609679428736,0.000117218034674462,0.006786075631838,"uncharacterized protein C9orf85 homolog","gonad"
"LOC115143105",56.7753724889643,0.997416557679268,0.367868502732266,0.000265602089982915,0.0100382745984561,"uncharacterized LOC115143105, transcript variant X2","gonad"
"LOC115142376",56.3056882321742,0.907702624000791,0.30763195683377,0.000141922188908781,0.00756984970982468,"uncharacterized LOC115142376","gonad"
"LOC115131425",99.5228037885293,0.879344094867247,0.322587626624506,0.000274733724855483,0.0102807966010644,"uncharacterized protein KIAA0895-like, transcript variant X1","gonad"
"LOC115128402",99.3133968726009,0.876060982713737,0.288114398780792,0.000153147932990422,0.0077889646317195,"uncharacterized LOC115128402","gonad"
"LOC115101657",140.150026881116,0.747184225599224,0.229428292009158,6.03163501405446e-05,0.0047986978567698,"uncharacterized protein At5g50100, chloroplastic-like, transcript variant X1","gonad"
"LOC115121679",104.649753439049,0.699352290987242,0.369795058344569,0.0022726259920107,0.0344289649038324,"uncharacterized protein C1orf189-like, transcript variant X1","gonad"
"LOC115126776",28.9052399515359,0.696561760079794,0.311182477301356,0.00114848128420074,0.0229844002192237,"uncharacterized LOC115126776","gonad"
"LOC115129344",34.9051013188249,0.666542204040728,0.358838777394589,0.00252115581697454,0.0367837182686197,"uncharacterized LOC115129344","gonad"
"LOC115141710",60.1026101726999,0.647142358345807,0.26736730393191,0.000797441249735537,0.0187572050481272,"uncharacterized LOC115141710","gonad"
"LOC115133392",31.7472976734682,0.613173434360059,0.227908461064688,0.000426174513153465,0.0129945481587131,"uncharacterized LOC115133392","gonad"
"LOC115108382",485.133554825981,0.589996025948969,0.261729716860235,0.00132700953710796,0.0249866992447808,"uncharacterized protein C7orf57 homolog, transcript variant X1","gonad"
"LOC115106434",52.4731830405201,0.586203478597274,0.289365385412359,0.00211520080174454,0.0328289567057646,"uncharacterized LOC115106434, transcript variant X2","gonad"
"LOC115101699",76.868388931373,0.581877459134454,0.232388325506678,0.000733125898748229,0.0180282323283087,"uncharacterized LOC115101699, transcript variant X1","gonad"
"LOC115110282",85.3326806669088,0.570619599756195,0.25754748385981,0.0015022240389967,0.0267309061189289,"uncharacterized LOC115110282, transcript variant X2","gonad"
"LOC115135915",134.282607662441,0.542172349776149,0.196167748393471,0.0004027058856375,0.0126036957761092,"uncharacterized LOC115135915, transcript variant X4","gonad"
"LOC115117972",65.1473661101399,0.520118290058325,0.181026315588919,0.000306283767449502,0.0109012840914592,"uncharacterized LOC115117972","gonad"
"LOC115141601",35.4517647175917,0.484218904146025,0.196392104248414,0.00104064061846978,0.0218733277774784,"uncharacterized LOC115141601","gonad"
"LOC115107577",204.179746954913,0.476531500571071,0.22558601359892,0.00238429466988233,0.0353536566751934,"uncharacterized protein DDB_G0271670-like, transcript variant X1","gonad"
"LOC115141342",101.876960785865,0.467032901965123,0.203381896760571,0.00169672978346746,0.0289542920237502,"uncharacterized LOC115141342, transcript variant X1","gonad"
"LOC115118739",23.3609642198371,0.407053393512064,0.389323119673911,0.00318733041080132,0.0420279257162416,"uncharacterized LOC115118739","gonad"
"LOC115106839",215.991709757643,0.369383386354286,0.137749276402507,0.000927598885078699,0.0205187907581369,"uncharacterized LOC115106839, transcript variant X2","gonad"
"LOC115123231",82.0180210833608,0.125338778870556,0.200787799691015,3.57460735116276e-06,0.00159636790019138,"uncharacterized LOC115123231","gonad"
"LOC115119677",42.1951229730956,0.0919214206201569,0.163958838821619,0.000327956424829353,0.0112701540910051,"uncharacterized LOC115119677","gonad"
"LOC115106629",34.5329889941892,0.0610204904619797,0.151589782477013,0.00022798711492172,0.00936558120856544,"uncharacterized LOC115106629","gonad"
"LOC115126437",55.1911737008112,0.0574079825115538,0.172606583545791,0.00181291720948606,0.0302445703626596,"uncharacterized LOC115126437, transcript variant X1","gonad"
"LOC115107148",95.657111758286,-0.301221176487837,0.107005850585633,0.000936982794064538,0.0207021811033979,"uncharacterized LOC115107148","gonad"
"LOC115110075",23.1194019142438,-0.424003180273506,0.199039390074551,0.00277095750489521,0.0388364769468474,"uncharacterized LOC115110075","gonad"
"LOC115140604",25.6455248130505,-0.434372734406743,0.217521682153703,0.00373560859834232,0.0462614446106029,"uncharacterized LOC115140604","gonad"
"LOC115146279",35.7953522580772,-0.480315624373326,0.218928630980779,0.00205485024111773,0.0324206746094933,"uncharacterized protein C14orf28 homolog","gonad"
"LOC115117837",42.3926327156188,-0.506093678376748,0.191205684607748,0.000619263656578137,0.0161242795214414,"uncharacterized LOC115117837","gonad"
"LOC115126382",14.7494436286652,-0.513885892080886,0.210290256273285,0.00109088605204925,0.022379119605149,"uncharacterized LOC115126382","gonad"
"LOC115103780",11.7219908478676,-0.576689592877217,0.301720333821983,0.00297227480015042,0.0403152029662236,"uncharacterized LOC115103780, transcript variant X1","gonad"
"LOC115130275",35.5049507792968,-0.709176083968607,0.260519335407813,0.00033821004862585,0.0114164152623567,"uncharacterized LOC115130275, transcript variant X2","gonad"
"LOC115139421",63.450192390327,-0.909370697884404,0.503178386859089,0.00205604465992532,0.0324206746094933,"uncharacterized LOC115139421, transcript variant X2","gonad"
"LOC115120595",199.220476913224,-1.05635695621148,0.552432586259674,0.00156042307052142,0.0273326649771722,"uncharacterized LOC115120595","gonad"
"LOC115135188",17.1463471363375,-1.16271037457605,0.462132582247157,0.000419545713749929,0.012875361571888,"uncharacterized LOC115135188","gonad"
"LOC115122635",17.0848755367023,-1.26326779397183,0.394198423307276,5.56775702083386e-05,0.00466654833338974,"uncharacterized LOC115122635","gonad"
