"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","description","treatment"
"LOC115130722",471.407337037071,0.0370751272641499,0.0790711306488613,0.593198443748828,0.798019637651162,"catenin delta-1-like, transcript variant X2","gonad"
"LOC115140949",1981.93634346453,0.0369943190263553,0.0726804244522425,0.570152419689148,0.78255534653248,"nectin-2-like, transcript variant X1","gonad"
"LOC115132285",34.6078611110551,0.0369906392794741,0.128499307730442,0.677137490453968,0.848831405610453,"specifically androgen-regulated gene protein-like, transcript variant X1","gonad"
"LOC115122622",13.8771963122295,0.0369710459959051,0.172616369316404,0.66980877616254,0.844488503415042,"glycine receptor subunit alpha-3-like","gonad"
"LOC115110828",13.1270777945584,0.0369211389122566,0.152356691956592,0.679908594172377,0.850615740380176,"transmembrane emp24 domain-containing protein 1-like","gonad"
"LOC115146718",19.6368395878616,0.0368822422724771,0.132082634355757,0.679481322077124,0.850470453928077,"uncharacterized LOC115146718","gonad"
"LOC115103242",15.5250766821509,0.0368698827622576,0.173861242857436,0.669734330063269,0.844488503415042,"ras-related protein Rab-3A-like","gonad"
"LOC115121789",13.5203406643164,0.036865217334135,0.171320334358454,0.671569962485919,0.845166100164685,"alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2-like","gonad"
"LOCNA.3954",56.4141372733643,0.0368248642731025,0.110958752430174,0.664247446472695,0.841495231017151,NA,"gonad"
"LOCNA.2066",19.7196974955726,0.0367972425207652,0.135786299528634,0.681221697428512,0.85152712178564,NA,"gonad"
"LOC115139149",316.233445334929,0.0367814751073734,0.122931236126057,0.675677869863987,0.848089349382238,"poly(A) polymerase beta-like, transcript variant X1","gonad"
"LOCNA.1811",77.8048629698551,0.0367451321178708,0.105805602134382,0.65814940956431,0.838631162187094,NA,"gonad"
"LOC115130627",90.0624289502073,0.0367369750767364,0.116951011558729,0.671296824959989,0.845090444825304,"RNA-binding motif protein, X chromosome-like, transcript variant X2","gonad"
"LOC115141155",55.7844559072609,0.0367045889100482,0.121295661711246,0.675160333950914,0.847959060140603,"retroviral integration site protein Fli-1 homolog, transcript variant X5","gonad"
"LOC115145285",159.370078368472,0.0366766947810015,0.10932052399373,0.663504371661717,0.84122137415927,"Hermansky-Pudlak syndrome 3 protein-like","gonad"
"LOC115143928",14.9138099248541,0.0366733195972533,0.173038918565226,0.671937266460586,0.84550319912488,"leucine zipper putative tumor suppressor 2 homolog, transcript variant X1","gonad"
"LOC115134956",153.299869434357,0.036644400995444,0.0853348414730767,0.616743793119449,0.813120994479652,"cell division cycle and apoptosis regulator protein 1-like","gonad"
"LOC115128445",81.4396539267456,0.0366286736988381,0.116277665902575,0.671580097337092,0.845166100164685,"T-complex protein 1 subunit gamma","gonad"
"LOC115142669",37.2162591715443,0.0365953577393702,0.200571270702258,0.642516789679717,0.829306135931918,"uncharacterized LOC115142669","gonad"
"LOC115137185",40.2077491849614,0.0365786357875284,0.101372477566576,0.652682251328725,0.835883559615111,"presenilins-associated rhomboid-like protein, mitochondrial","gonad"
"LOC115113503",120.612472629937,0.036567847664446,0.0896215405367698,0.628697860409753,0.821445900280062,"mitochondrial carrier homolog 2-like","gonad"
"LOC115113063",93.369464900355,0.0365591028606548,0.0981188192542904,0.647072286252018,0.83235006815228,"uncharacterized LOC115113063, transcript variant X4","gonad"
"LOC115114242",109.500216659545,0.0365560036718834,0.119616800033225,0.675104762313014,0.847959060140603,"coatomer subunit beta'-like","gonad"
