"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","description","treatment"
"LOC115144689",76.8892778779423,0.128198203500555,0.10195490895308,0.0383708343168228,0.262914721544638,"cytochrome c oxidase subunit 5A, mitochondrial-like","liver"
"LOC115145775",50.1644453869916,0.128056501740669,0.13586767364267,0.0430047894661135,0.276907100859744,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial-like","liver"
"lg27h9orf64",78.248513654013,0.127673699493634,0.166111162656265,0.0373545727901643,0.257885219738498,"linkage group 27 C9orf64 homolog","liver"
"LOC115134984",1404.71590995898,0.127624010224261,0.138695494901642,0.0441337642613829,0.27943352759396,"40S ribosomal protein S24, transcript variant X3","liver"
"LOC115104164",124.925503953164,0.127569702949413,0.14053675593301,0.0424883513682138,0.275711570519406,"beta-1,3-N-acetylglucosaminyltransferase lunatic fringe-like","liver"
"LOC115140928",49.9552771208595,0.127386698276147,0.114741377374518,0.0432575386040194,0.276907100859744,"antizyme inhibitor 1-like, transcript variant X2","liver"
"LOC115137079",56.1669977642906,0.127385292327791,0.0971040888440501,0.0372448089573601,0.257885219738498,"AP-2 complex subunit sigma, transcript variant X2","liver"
"LOC115112862",1110.91136673418,0.127373535197827,0.15425051037243,0.0406163964595408,0.270659597008523,"60S ribosomal protein L38","liver"
"ndufs4",302.89205890551,0.127159768120728,0.122000907450446,0.0444758273888864,0.280186172126901,"NADH:ubiquinone oxidoreductase subunit S4","liver"
"LOC115122608",51.0983947036027,0.127091482400433,0.119010717349882,0.0441274154233246,0.27943352759396,"thioredoxin, mitochondrial-like","liver"
"LOC115140289",43.5206211708213,0.127088726205188,0.146738959484211,0.0425336128094939,0.275711570519406,"glycerol-3-phosphate acyltransferase 3-like, transcript variant X1","liver"
"LOC115143728",125.065329928987,0.127042636856018,0.117423888882469,0.0438725550482634,0.278632672443752,"28S ribosomal protein S16, mitochondrial-like","liver"
"sdf4",157.550027406414,0.126709760731108,0.154921557707813,0.0406862379339508,0.270659597008523,"stromal cell derived factor 4","liver"
"LOC115136217",38.8485084593728,0.126482189081559,0.107903641119363,0.0421464536044613,0.275233817986264,"E3 ubiquitin-protein ligase RNF14-like","liver"
"LOC115130184",49.6884798193091,0.126398341201764,0.195830492758964,0.0274557602560269,0.230196866490767,"serine/threonine-protein kinase RIO3-like, transcript variant X1","liver"
"LOC115102501",99.4895868309557,0.126337739174574,0.110735672894659,0.0436129807478614,0.278233057079927,"V-type proton ATPase subunit S1-like","liver"
"LOC115114283",105.822639757226,0.126188068149975,0.136412150937525,0.0445854324215454,0.280186172126901,"cyclic AMP-dependent transcription factor ATF-6 alpha-like, transcript variant X4","liver"
"LOC115144273",2470.67819848893,0.126027185135072,0.161903856783967,0.0396521344584386,0.266383648673165,"60S ribosomal protein L38-like, transcript variant X2","liver"
"fam234a",47.1886755341031,0.125485421236701,0.12216894220296,0.0456007321976184,0.281378944248911,"family with sequence similarity 234 member A, transcript variant X2","liver"
"LOC115107684",93.8100935912072,0.125367522182629,0.0986746296381329,0.0400417233040671,0.267862049496165,"m-AAA protease-interacting protein 1, mitochondrial-like","liver"
"nudt12",141.613405956942,0.125152082759554,0.12181317575872,0.0454090796692979,0.280502914456079,"nudix hydrolase 12, transcript variant X2","liver"
"LOC115128392",177.07678798933,0.12501328735015,0.0981597479146079,0.0398263211614401,0.266834754161901,"ATP synthase subunit O, mitochondrial-like","liver"
"LOC115126080",680.894931611843,0.124791985840258,0.158102102351375,0.0409730666143548,0.271837760404991,"glutathione S-transferase A-like","liver"
"LOC115130603",120.686463966486,0.12458723499438,0.173151259921154,0.0359634552910714,0.25588189697278,"tubulin beta-4B chain-like","liver"
"LOC115118011",41.1772737012342,0.124453940473318,0.11744170735713,0.046976802872774,0.286117614907964,"inhibitor of growth protein 3-like, transcript variant X1","liver"
"LOC115117204",276.618313559365,0.124291416667235,0.0956542850446782,0.0396791796907778,0.266383648673165,"protein SREK1IP1-like","liver"
"LOC115140965",169.26018997117,0.123990827209232,0.0886789547188062,0.0357464236205286,0.255699475541819,"tetraspanin-31-like","liver"
