"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","description","treatment"
"LOC115131673",100.828268389963,0.291831928612423,0.120162577730941,8.22039500787107e-06,0.0266090237597237,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 5-like","liver"
"LOC115128702",153.550384216592,0.280644724422316,0.100751919442593,1.93122531444276e-05,0.0266090237597237,"26S proteasome complex subunit SEM1","liver"
"LOC115139187",143.999694322358,0.26759365774384,0.096987503796785,3.76913445260765e-05,0.0266090237597237,"splicing factor 3B subunit 6","liver"
"LOC115133295",217.205891168774,0.262891330293945,0.113119829566506,4.46044153184795e-05,0.0266090237597237,"oligosaccharyltransferase complex subunit ostc, transcript variant X2","liver"
"LOC115123161",148.108566323141,0.261333668384435,0.113638726829367,4.69505305261578e-05,0.0266090237597237,"ferritin, middle subunit-like","liver"
"wdr45",103.888393846575,0.259252798958569,0.11533594801893,4.74585435863265e-05,0.0266090237597237,"WD repeat domain 45","liver"
"LOC115125161",136.916425934153,0.258626551683455,0.108325288422879,6.41241551709696e-05,0.0278496138534842,"60S ribosomal protein L32-like","liver"
"LOC115138705",700.210109238123,0.255078799966231,0.0971100463501187,7.8323148800462e-05,0.0290814747469895,"proteasome subunit alpha type-3","liver"
"LOC115106387",42.5959204661262,0.250520678412365,0.109533913427784,9.27145847406678e-05,0.0290814747469895,"dnaJ homolog subfamily C member 9-like, transcript variant X1","liver"
"LOC115112920",65.1284244089857,0.249813624630375,0.0831168493891307,5.55437163816869e-05,0.0266090237597237,"renin receptor-like","liver"
"LOC115111363",98.3469336555326,0.249341706687156,0.0973115239215318,0.000108841121123559,0.0317880970229787,"glutaredoxin-1-like, transcript variant X1","liver"
"LOC115135049",94.6064474653255,0.249017921478168,0.102451087252465,0.000114146081588133,0.0317880970229787,"bladder cancer-associated protein, transcript variant X2","liver"
"znhit2",158.25734298771,0.248336872503009,0.0998448581321186,0.00011823415470821,0.0317880970229787,"zinc finger HIT-type containing 2, transcript variant X2","liver"
"LOC115146293",46.7356256965599,0.248199815943268,0.124875749473102,3.08815706047042e-05,0.0266090237597237,"MARCKS-related protein 1-A-like","liver"
"LOC115135968",118.176869419857,0.24673345737145,0.0979808629923977,0.000127072854896958,0.0326115153976465,"malate dehydrogenase, mitochondrial-like","liver"
"LOC115105069",181.193886984798,0.237842808385154,0.103009352238605,0.000203477137230581,0.0441858429539947,"eukaryotic translation initiation factor 1b","liver"
"gps1",67.9021499002825,0.237603559143963,0.0859013296604364,0.000145892367852013,0.0358134047344549,"G protein pathway suppressor 1, transcript variant X3","liver"
"LOC115140097",81.1122763616699,0.236052940714164,0.0984039050195112,0.000228249254223109,0.046024831762274,"transcobalamin-2-like","liver"
"LOC115116869",559.328758645918,0.234131518038545,0.089982623450994,0.000215684883173706,0.045102105570324,"cytochrome c oxidase subunit NDUFA4-like","liver"
"LOC115107636",84.8333385619588,0.233701118210556,0.09735036590554,0.000257584384358609,0.0497908750356821,"COP9 signalosome complex subunit 8-like, transcript variant X1","liver"
"LOC115145216",204.780302746805,0.23021504129279,0.0897355459021864,0.000268383879765443,0.0497908750356821,"V-type proton ATPase 16 kDa proteolipid subunit","liver"
"LOC115104729",486.108115545581,0.218949980162273,0.0728110447186109,0.000174624290902199,0.0410803644347422,"cytochrome b-c1 complex subunit 9-like","liver"
"LOC115142640",109.095304773969,0.216139385942522,0.0722380526412294,0.000199150237345712,0.0441858429539947,"protein dpy-30 homolog, transcript variant X1","liver"
"LOC115109712",198.667896808026,0.213199006477446,0.061817627732126,5.65547795105711e-05,0.0266090237597237,"rab GDP dissociation inhibitor beta-like","liver"
"LOC115119000",370.058749408274,0.20363291390119,0.0674632031297221,0.000273382416951142,0.0497908750356821,"transmembrane emp24 domain-containing protein 10-like","liver"
"LOC115122299",289.917971707057,0.190206408634049,0.12697834166658,8.77156522313642e-05,0.0290814747469895,"mannose-binding protein C-like","liver"
"LOC115116544",234.119529787756,-0.157257647490734,0.127371277843547,8.61050477183668e-05,0.0290814747469895,"alpha-tubulin N-acetyltransferase 1-like, transcript variant X2","liver"
"LOC115107543",70.3369688879812,-0.232280873986442,0.121408444305987,8.53302707270037e-05,0.0290814747469895,"pleckstrin homology domain-containing family G member 3-like, transcript variant X4","liver"
"LOC115119914",74.829884789362,-0.245575314943421,0.126061056342907,2.83511316422886e-05,0.0266090237597237,"unconventional myosin-XVI-like","liver"
"LOC115102558",1927.85097847973,-0.252133829373501,0.0762934015556143,2.42967189468582e-05,0.0266090237597237,"low-density lipoprotein receptor-related protein 1-like","liver"
"LOC115118360",38.4238213979648,-0.262329630261832,0.12870602342599,1.11868692155423e-05,0.0266090237597237,"coagulation factor X-like","liver"
