"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","description","treatment"
"LOC115122299",289.917971707057,0.938490928101726,0.309495742565532,8.77156522313642e-05,0.0290814747469895,"mannose-binding protein C-like","liver"
"LOC115146293",46.7356256965599,0.747219009805044,0.221516229441849,3.08815706047042e-05,0.0266090237597237,"MARCKS-related protein 1-A-like","liver"
"LOC115131673",100.828268389963,0.662538337280736,0.177224932847298,8.22039500787107e-06,0.0266090237597237,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 5-like","liver"
"wdr45",103.888393846575,0.588165490869412,0.180117858849803,4.74585435863265e-05,0.0266090237597237,"WD repeat domain 45","liver"
"LOC115123161",148.108566323141,0.569531665728394,0.173813013932157,4.69505305261578e-05,0.0266090237597237,"ferritin, middle subunit-like","liver"
"LOC115133295",217.205891168774,0.564875405873597,0.171644420361764,4.46044153184795e-05,0.0266090237597237,"oligosaccharyltransferase complex subunit ostc, transcript variant X2","liver"
"LOC115106387",42.5959204661262,0.515948746669576,0.167241149636814,9.27145847406678e-05,0.0290814747469895,"dnaJ homolog subfamily C member 9-like, transcript variant X1","liver"
"LOC115125161",136.916425934153,0.512579980830865,0.160160877115599,6.41241551709696e-05,0.0278496138534842,"60S ribosomal protein L32-like","liver"
"LOC115128702",153.550384216592,0.47769740071609,0.134417362900468,1.93122531444276e-05,0.0266090237597237,"26S proteasome complex subunit SEM1","liver"
"LOC115135049",94.6064474653255,0.452719545829915,0.148903021411893,0.000114146081588133,0.0317880970229787,"bladder cancer-associated protein, transcript variant X2","liver"
"LOC115105069",181.193886984798,0.442257575803151,0.154823667963602,0.000203477137230581,0.0441858429539947,"eukaryotic translation initiation factor 1b","liver"
"LOC115139187",143.999694322358,0.439828008567639,0.129972040630421,3.76913445260765e-05,0.0266090237597237,"splicing factor 3B subunit 6","liver"
"znhit2",158.25734298771,0.43326834522013,0.142516334741362,0.00011823415470821,0.0317880970229787,"zinc finger HIT-type containing 2, transcript variant X2","liver"
"LOC115138705",700.210109238123,0.424921284550793,0.133781507969598,7.8323148800462e-05,0.0290814747469895,"proteasome subunit alpha type-3","liver"
"LOC115135968",118.176869419857,0.41912323307235,0.138361065012522,0.000127072854896958,0.0326115153976465,"malate dehydrogenase, mitochondrial-like","liver"
"LOC115111363",98.3469336555326,0.418610582119611,0.135833810745227,0.000108841121123559,0.0317880970229787,"glutaredoxin-1-like, transcript variant X1","liver"
"LOC115140097",81.1122763616699,0.406670430441382,0.143096196527587,0.000228249254223109,0.046024831762274,"transcobalamin-2-like","liver"
"LOC115107636",84.8333385619588,0.39642705787477,0.141240276800445,0.000257584384358609,0.0497908750356821,"COP9 signalosome complex subunit 8-like, transcript variant X1","liver"
"LOC115116869",559.328758645918,0.357578048706849,0.123215786559148,0.000215684883173706,0.045102105570324,"cytochrome c oxidase subunit NDUFA4-like","liver"
"LOC115112920",65.1284244089857,0.352094207789899,0.105707817488515,5.55437163816869e-05,0.0266090237597237,"renin receptor-like","liver"
"LOC115145216",204.780302746805,0.350335598506931,0.123633600471642,0.000268383879765443,0.0497908750356821,"V-type proton ATPase 16 kDa proteolipid subunit","liver"
"gps1",67.9021499002825,0.345159771513161,0.11356507928562,0.000145892367852013,0.0358134047344549,"G protein pathway suppressor 1, transcript variant X3","liver"
"LOC115104729",486.108115545581,0.277452209648531,0.0903975160555739,0.000174624290902199,0.0410803644347422,"cytochrome b-c1 complex subunit 9-like","liver"
"LOC115142640",109.095304773969,0.271962509888042,0.089687488633866,0.000199150237345712,0.0441858429539947,"protein dpy-30 homolog, transcript variant X1","liver"
"LOC115109712",198.667896808026,0.248852581552181,0.072215063594719,5.65547795105711e-05,0.0266090237597237,"rab GDP dissociation inhibitor beta-like","liver"
"LOC115119000",370.058749408274,0.244739735049412,0.081956925035538,0.000273382416951142,0.0497908750356821,"transmembrane emp24 domain-containing protein 10-like","liver"
"LOC115102558",1927.85097847973,-0.333017692845923,0.0930957868977134,2.42967189468582e-05,0.0266090237597237,"low-density lipoprotein receptor-related protein 1-like","liver"
"LOC115107543",70.3369688879812,-0.678568908246545,0.22068184665145,8.53302707270037e-05,0.0290814747469895,"pleckstrin homology domain-containing family G member 3-like, transcript variant X4","liver"
"LOC115119914",74.829884789362,-0.777013410004643,0.229084158271558,2.83511316422886e-05,0.0266090237597237,"unconventional myosin-XVI-like","liver"
"LOC115118360",38.4238213979648,-0.821144988988581,0.225806746826944,1.11868692155423e-05,0.0266090237597237,"coagulation factor X-like","liver"
"LOC115116544",234.119529787756,-1.1928099161645,0.395808940189687,8.61050477183668e-05,0.0290814747469895,"alpha-tubulin N-acetyltransferase 1-like, transcript variant X2","liver"
