"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","description","treatment"
"LOC115131673",100.828268389963,0.291831928612423,0.120162577730941,8.22039500787107e-06,0.0266090237597237,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 5-like","liver"
"LOC115128702",153.550384216592,0.280644724422316,0.100751919442593,1.93122531444276e-05,0.0266090237597237,"26S proteasome complex subunit SEM1","liver"
"LOC115139187",143.999694322358,0.26759365774384,0.096987503796785,3.76913445260765e-05,0.0266090237597237,"splicing factor 3B subunit 6","liver"
"LOC115133295",217.205891168774,0.262891330293945,0.113119829566506,4.46044153184795e-05,0.0266090237597237,"oligosaccharyltransferase complex subunit ostc, transcript variant X2","liver"
"LOC115123161",148.108566323141,0.261333668384435,0.113638726829367,4.69505305261578e-05,0.0266090237597237,"ferritin, middle subunit-like","liver"
"LOCNA.2988",103.888393846575,0.259252798958569,0.11533594801893,4.74585435863265e-05,0.0266090237597237,NA,"liver"
"LOC115125161",136.916425934153,0.258626551683455,0.108325288422879,6.41241551709696e-05,0.0278496138534842,"60S ribosomal protein L32-like","liver"
"LOC115138705",700.210109238123,0.255078799966231,0.0971100463501187,7.8323148800462e-05,0.0290814747469895,"proteasome subunit alpha type-3","liver"
"LOC115106387",42.5959204661262,0.250520678412365,0.109533913427784,9.27145847406678e-05,0.0290814747469895,"dnaJ homolog subfamily C member 9-like, transcript variant X1","liver"
"LOC115112920",65.1284244089857,0.249813624630375,0.0831168493891307,5.55437163816869e-05,0.0266090237597237,"renin receptor-like","liver"
"LOC115111363",98.3469336555326,0.249341706687156,0.0973115239215318,0.000108841121123559,0.0317880970229787,"glutaredoxin-1-like, transcript variant X1","liver"
"LOC115135049",94.6064474653255,0.249017921478168,0.102451087252465,0.000114146081588133,0.0317880970229787,"bladder cancer-associated protein, transcript variant X2","liver"
"LOCNA.4406",158.25734298771,0.248336872503009,0.0998448581321186,0.00011823415470821,0.0317880970229787,NA,"liver"
"LOC115146293",46.7356256965599,0.248199815943268,0.124875749473102,3.08815706047042e-05,0.0266090237597237,"MARCKS-related protein 1-A-like","liver"
"LOC115135968",118.176869419857,0.24673345737145,0.0979808629923977,0.000127072854896958,0.0326115153976465,"malate dehydrogenase, mitochondrial-like","liver"
"LOC115105069",181.193886984798,0.237842808385154,0.103009352238605,0.000203477137230581,0.0441858429539947,"eukaryotic translation initiation factor 1b","liver"
"LOCNA.1800",67.9021499002825,0.237603559143963,0.0859013296604364,0.000145892367852013,0.0358134047344549,NA,"liver"
"LOC115140097",81.1122763616699,0.236052940714164,0.0984039050195112,0.000228249254223109,0.046024831762274,"transcobalamin-2-like","liver"
"LOC115116869",559.328758645918,0.234131518038545,0.089982623450994,0.000215684883173706,0.045102105570324,"cytochrome c oxidase subunit NDUFA4-like","liver"
"LOC115107636",84.8333385619588,0.233701118210556,0.09735036590554,0.000257584384358609,0.0497908750356821,"COP9 signalosome complex subunit 8-like, transcript variant X1","liver"
"LOC115145216",204.780302746805,0.23021504129279,0.0897355459021864,0.000268383879765443,0.0497908750356821,"V-type proton ATPase 16 kDa proteolipid subunit","liver"
"LOC115132717",76.6393436159539,0.227795869934418,0.0989927315755221,0.000353389918377123,0.0513472241377666,"ras-related protein Rab-39B-like","liver"
"LOCNA.3574",283.993417182409,0.227086468212978,0.0970312788246776,0.000366294025885155,0.0513472241377666,NA,"liver"
"LOC115104196",106.875930269911,0.225443065144796,0.0975472070916394,0.000400117300497082,0.0513472241377666,"SUMO-conjugating enzyme UBC9-B, transcript variant X2","liver"
"LOC115140067",42.96553516248,0.224659591711691,0.101843351585853,0.000404362561252376,0.0513472241377666,"26S proteasome non-ATPase regulatory subunit 9-like","liver"
"LOC115145095",311.162069601426,0.224066961229431,0.10846846401662,0.000342005297514066,0.0513472241377666,"proteasome subunit beta type-5-like","liver"
"LOC115134514",107.365890738346,0.22341306453503,0.0932302126286362,0.000428993683539396,0.0513472241377666,"40S ribosomal protein S13","liver"
"LOCNA.3726",51.7896821508788,0.223032087463865,0.101018692352205,0.000444141149424496,0.0513472241377666,NA,"liver"
"LOCNA.1759",44.1028096034287,0.222908378532308,0.0929929310857008,0.000439204942062872,0.0513472241377666,NA,"liver"
"LOC115121896",83.8215562505802,0.222846574291102,0.0975645498123274,0.000458436292862373,0.0513472241377666,"vacuolar protein sorting-associated protein 29, transcript variant X2","liver"
"LOC115101639",40.2833201049163,0.221580969843197,0.100102107131953,0.000483132510113889,0.0514672858887362,"mRNA export factor, transcript variant X2","liver"
