"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","description","treatment"
"LOC115118427",246.299653437132,0.513102131764555,0.490578044087585,1.04591336271247,0.295601034262105,0.589799189789457,"docking protein 5-like","liver"
"slc8b1",136.206975655152,0.512635232431827,0.341938376468015,1.49920356330574,0.133820830928188,0.419579774510227,"solute carrier family 8 member B1, transcript variant X3","liver"
"LOC115130839",66.4204067926245,0.512421010834283,0.501752542922599,1.02126240925366,0.307130131067813,0.598746474685088,"glutathione S-transferase P-like","liver"
"selenop",1627.30121478001,0.507673453649893,0.241861059394116,2.09902931427515,0.0358143166985254,0.236098373869277,"selenoprotein P, transcript variant X1","liver"
"znhit2",158.25734298771,0.507112629720187,0.131725815606352,3.84975889035782,0.00011823415470821,0.026773467477259,"zinc finger HIT-type containing 2, transcript variant X2","liver"
"LOC115139187",143.999694322358,0.502158530091768,0.121847818681206,4.12119425301803,3.76913445260765e-05,0.0230517281285088,"splicing factor 3B subunit 6","liver"
"LOC115103834",502.018989742158,0.501097601753674,0.206761074405866,2.4235587051073,0.0153692689699595,0.1640570739487,"integral membrane protein GPR155-like, transcript variant X2","liver"
"LOC115109368",21560.2011986255,0.500928476908236,0.164698924308,3.04147995509346,0.00235418239653754,0.077505024494435,"metallothionein A","liver"
"plod1",114.852553451972,0.500326685718715,0.259714003863207,1.92645247570955,0.0540479004869477,0.286514561701916,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1, transcript variant X2","liver"
"LOC115124622",59.1622796914558,0.499215890776964,0.258304634466193,1.93266331364372,0.0532776873416162,0.284406663425907,"eukaryotic translation initiation factor 4E-binding protein 3-like","liver"
"LOC115136834",78.2945116827821,0.49729058917766,0.252633049470512,1.968430457614,0.0490185303210278,0.274827413464249,"complement C4-B-like","liver"
"msmb",8606.03818048327,0.497193499211042,0.216553405153869,2.29593941899813,0.0216793454713713,0.18761149074588,"microseminoprotein beta","liver"
"LOC115132091",143.281878399149,0.49709520714148,0.312891806072659,1.58871276746073,0.112125255133479,0.392631048044725,"small integral membrane protein 11A-like","liver"
"LOC115132815",158.184996508307,0.496814777495345,0.15794432481722,3.14550572216051,0.00165799951524628,0.0669109507340972,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial-like","liver"
"LOC115145073",96.011369336583,0.494296278021098,0.180157653760039,2.74368736328835,0.00607533672750468,0.113592075694078,"peroxiredoxin-6-like","liver"
"LOC115138705",700.210109238123,0.491914876693566,0.124552000752404,3.94947390424855,7.8323148800462e-05,0.023835266566336,"proteasome subunit alpha type-3","liver"
"LOC115135968",118.176869419857,0.490806954860709,0.128079019750528,3.83206364177914,0.000127072854896958,0.0272604713978947,"malate dehydrogenase, mitochondrial-like","liver"
"LOC115111363",98.3469336555326,0.488124626238694,0.126130815458513,3.86998708019331,0.000108841121123559,0.026773467477259,"glutaredoxin-1-like, transcript variant X1","liver"
"LOC115124641",294.079854288374,0.4877982510511,0.243775285063005,2.00101602147661,0.0453906633464106,0.262535331534834,"eukaryotic translation initiation factor 4E-binding protein 3-like","liver"
"asah2",64.8486179578886,0.484488301257195,0.185442401028367,2.61260800426695,0.00898542963987555,0.13271750448221,"N-acylsphingosine amidohydrolase 2","liver"
"LOC115140097",81.1122763616699,0.484006733101292,0.131327099629108,3.68550538668879,0.000228249254223109,0.0372137584085357,"transcobalamin-2-like","liver"
"LOC115132717",76.6393436159539,0.480714093085176,0.134554011716332,3.57264779365048,0.000353389918377123,0.0436490093122773,"ras-related protein Rab-39B-like","liver"
"LOC115111365",91.1797224554729,0.480360404246276,0.149004078644711,3.22380708377561,0.00126498587420128,0.0594443493954234,"osteoclast-stimulating factor 1-like","liver"
"LOC115103192",66.905700812383,0.478211034841119,0.169752486152715,2.81710769414537,0.00484582740546488,0.101812332498324,"transmembrane protein 56-B-like, transcript variant X2","liver"
"LOC115105853",752.407153920372,0.47791019319478,0.223461639697336,2.13866770977818,0.0324625895241982,0.226571087158616,"lipocalin-like, transcript variant X1","liver"
"LOC115115363",1165.65984416294,0.477788613623418,0.262840189324472,1.81779131589955,0.0690960344366746,0.31855888787625,"ferritin, middle subunit-like","liver"
"LOC115110871",101.299772827179,0.475154528863422,0.191779330638475,2.47761073772408,0.0132265357688094,0.156834820486946,"uncharacterized LOC115110871","liver"
"LOC115119134",244.99491772892,0.474786306994212,0.444342815934512,1.06851352147029,0.285288934378137,0.582393425434116,"glutathione-specific gamma-glutamylcyclotransferase 1-like","liver"
"LOC115106922",1351.83896424648,0.474143846685148,0.605341588159871,0.783266598494346,0.43347057330683,0.700010323612773,"galactose-specific lectin nattectin-like, transcript variant X2","liver"
"LOC115116310",78.0417944528638,0.473743415479312,0.217955660375672,2.17357702324757,0.0297369155340666,0.218899134270954,"60S ribosomal protein L32","liver"
"LOC115107636",84.8333385619588,0.473236884982752,0.129490787204165,3.65459887301953,0.000257584384358609,0.0397966689818876,"COP9 signalosome complex subunit 8-like, transcript variant X1","liver"
"ndufa1",731.06682744857,0.4728827948027,0.157183957768674,3.00846728581957,0.00262569069167079,0.0829636841802336,"NADH:ubiquinone oxidoreductase subunit A1","liver"
"LOC115126710",1553.97029299949,0.472713402921692,0.265680651417233,1.77925415494156,0.0751981034311108,0.330036247274382,"complement factor H-related protein 1-like","liver"
"LOC115146256",83.8975168568156,0.47197465405593,0.199444386277526,2.36644742358995,0.0179597249868521,0.173623010793981,"GTP cyclohydrolase 1 feedback regulatory protein","liver"
"capn8",71.7061048928362,0.471495991943535,0.338165732631101,1.39427489673497,0.163234608467188,0.455221463268693,"calpain 8","liver"
"cited2",62.0224776560916,0.46971085062881,0.31896141819221,1.47262591598385,0.140851932765714,0.428662337026552,"Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2","liver"
