"category","name","over_represented_pvalue","FDR","numDEInCat","numInCat"
"one00190","Oxidative phosphorylation",1.14862879285848e-18,2.23982614607403e-16,59,188
"one03010","Ribosome",2.53811849507397e-15,2.47466553269712e-13,66,262
"one03060","Protein export",1.97906345704327e-05,0.00128639124707813,15,50
"one04260","Cardiac muscle contraction",4.28896075537787e-05,0.00209086836824671,22,98
"one03420","Nucleotide excision repair",0.000150147300028429,0.00585574470110873,16,65
"one03020","RNA polymerase",0.000585857223214168,0.0190403597544605,11,40
