"category","name","over_represented_pvalue","FDR","numDEInCat","numInCat"
"one04137","Mitophagy - animal",0.983163665582398,1,11,207
"one04518","Integrin signaling",0.98520097244998,1,10,195
"one04520","Adherens junction",0.988676480380352,1,8,170
"one04068","FoxO signaling pathway",0.988796174537686,1,11,215
"one00310","Lysine degradation",0.989401505478815,1,3,89
"one04512","ECM-receptor interaction",0.990169312733666,1,3,90
"one04148","Efferocytosis",0.99131084385533,1,10,205
"one04910","Insulin signaling pathway",0.993391463842929,1,10,210
"one04810","Regulation of actin cytoskeleton",0.994771555453804,1,18,331
"one04218","Cellular senescence",0.995222073806257,1,12,246
"one04510","Focal adhesion",0.995881858288587,1,15,293
"one04012","ErbB signaling pathway",0.996251523757076,1,5,139
"one00240","Pyrimidine metabolism",0.99658335654021,1,1,60
"one03015","mRNA surveillance pathway",0.996735250571272,1,5,141
"one04310","Wnt signaling pathway",0.99762489493871,1,10,228
"one04820","Cytoskeleton in muscle cells",0.997891708519795,1,12,261
"one04140","Autophagy - animal",0.999561995506155,1,13,304
"one00100","Steroid biosynthesis",1,1,0,21
"one00120","Primary bile acid biosynthesis",1,1,0,15
"one00290","Valine, leucine and isoleucine biosynthesis",1,1,0,1
"one00400","Phenylalanine, tyrosine and tryptophan biosynthesis",1,1,0,9
"one00430","Taurine and hypotaurine metabolism",1,1,0,9
"one00440","Phosphonate and phosphinate metabolism",1,1,0,10
"one00500","Starch and sucrose metabolism",1,1,0,27
"one00515","Mannose type O-glycan biosynthesis",1,1,0,22
"one00524","Neomycin, kanamycin and gentamicin biosynthesis",1,1,0,4
"one00541","Biosynthesis of various nucleotide sugars",1,1,0,24
"one00603","Glycosphingolipid biosynthesis - globo and isoglobo series",1,1,0,14
"one00604","Glycosphingolipid biosynthesis - ganglio series",1,1,0,12
"one00660","C5-Branched dibasic acid metabolism",1,1,0,1
"one00750","Vitamin B6 metabolism",1,1,0,5
"one00780","Biotin metabolism",1,1,0,3
"one00920","Sulfur metabolism",1,1,0,10
"one00970","Aminoacyl-tRNA biosynthesis",1,1,0,46
"one01250","Biosynthesis of nucleotide sugars",1,1,0,37
"one01320","Sulfur cycle",1,1,0,2
"one03264","Virion - Flavivirus and Alphavirus",1,1,0,7
"one03267","Virion - Adenovirus",1,1,0,4
"one03271","Virion - Rotavirus",1,1,0,4
"one03450","Non-homologous end-joining",1,1,0,10
